name,precinct,density,date
Manhattan,1,16,2011
Manhattan,5,10,2011
Manhattan,6,21,2011
Manhattan,7,39,2011
Manhattan,9,19,2011
Manhattan,10,6,2011
Manhattan,13,19,2011
Manhattan,14,18,2011
Manhattan,17,13,2011
Manhattan,18,16,2011
Manhattan,19,26,2011
Manhattan,20,8,2011
Manhattan,22,1,2011
Manhattan,23,6,2011
Manhattan,24,7,2011
Manhattan,25,11,2011
Manhattan,26,1,2011
Manhattan,28,6,2011
Manhattan,30,4,2011
Manhattan,32,4,2011
Manhattan,33,4,2011
Manhattan,34,8,2011
Bronx,40,5,2011
Bronx,41,5,2011
Bronx,42,4,2011
Bronx,43,6,2011
Bronx,44,10,2011
Bronx,45,7,2011
Bronx,46,4,2011
Bronx,47,6,2011
Bronx,48,3,2011
Bronx,49,1,2011
Bronx,50,1,2011
Bronx,52,4,2011
Brooklyn,60,10,2011
Brooklyn,61,19,2011
Brooklyn,62,12,2011
Brooklyn,63,7,2011
Brooklyn,66,18,2011
Brooklyn,67,16,2011
Brooklyn,68,3,2011
Brooklyn,69,5,2011
Brooklyn,70,15,2011
Brooklyn,71,7,2011
Brooklyn,72,20,2011
Brooklyn,73,7,2011
Brooklyn,75,12,2011
Brooklyn,76,6,2011
Brooklyn,77,16,2011
Brooklyn,78,7,2011
Brooklyn,79,16,2011
Brooklyn,81,5,2011
Brooklyn,83,21,2011
Brooklyn,84,5,2011
Brooklyn,88,24,2011
Brooklyn,90,23,2011
Brooklyn,94,11,2011
Queens,100,3,2011
Queens,101,0,2011
Queens,102,11,2011
Queens,103,12,2011
Queens,104,11,2011
Queens,105,6,2011
Queens,106,8,2011
Queens,107,8,2011
Queens,108,20,2011
Queens,109,14,2011
Queens,110,18,2011
Queens,111,8,2011
Queens,112,6,2011
Queens,113,4,2011
Queens,114,25,2011
Queens,115,24,2011
Staten Island,120,2,2011
Staten Island,121,10,2011
Staten Island,122,4,2011
Staten Island,123,0,2011